Distance_(pixels);Gray_Value;X_Fit:_Gaussian;Fit:_Gaussian
505;139.640;598.013;190.3544
506;140.267;599.197;190.1869
507;139.925;600.381;189.9926
508;140.076;601.566;189.7718
509;139.811;602.750;189.5245
510;138.802;603.934;189.2512
511;138.357;605.118;188.9519
512;138.625;606.302;188.6270
513;138.305;607.487;188.2767
514;138.096;608.671;187.9015
515;137.148;609.855;187.5015
516;137.126;611.039;187.0773
517;137.634;612.223;186.6290
518;137.460;613.407;186.1572
519;137.163;614.592;185.6623
520;137.248;615.776;185.1447
521;140.227;616.960;184.6048
522;143.439;618.144;184.0431
523;145.787;619.328;183.4602
524;148.180;620.513;182.8564
525;151.057;621.697;182.2324
526;152.269;622.881;181.5887
527;152.910;624.065;180.9258
528;152.350;625.249;180.2442
529;152.326;626.433;179.5446
530;153.802;627.618;178.8275
531;155.909;628.802;178.0936
532;157.731;629.986;177.3434
533;158.913;631.170;176.5775
534;159.715;632.354;175.7965
535;160.059;633.539;175.0012
536;160.659;634.723;174.1921
537;158.708;635.907;173.3699
538;157.613;637.091;172.5352
539;157.562;638.275;171.6886
540;158.972;639.459;170.8309
541;160.821;640.644;169.9627
542;164.431;641.828;169.0845
543;168.711;643.012;168.1972
544;172.258;644.196;167.3013
545;174.798;645.380;166.3975
546;177.051;646.565;165.4865
547;179.277;647.749;164.5689
548;180.575;648.933;163.6454
549;181.095;650.117;162.7165
550;182.240;651.301;161.7830
551;184.449;652.485;160.8455
552;185.768;653.670;159.9046
553;185.359;654.854;158.9609
554;184.319;656.038;158.0151
555;183.188;657.222;157.0677
556;183.811;658.406;156.1194
557;184.307;659.591;155.1707
558;186.749;660.775;154.2222
559;189.242;661.959;153.2746
560;190.772;663.143;152.3283
561;191.401;664.327;151.3838
562;191.946;665.512;150.4418
563;191.877;666.696;149.5028
564;191.360;667.880;148.5672
565;191.252;669.064;147.6355
566;190.947;670.248;146.7084
567;190.763;671.432;145.7861
568;190.083;672.617;144.8692
569;189.625;673.801;143.9581
570;189.146;674.985;143.0533
571;188.650;676.169;142.1551
572;188.509;677.353;141.2640
573;188.434;678.538;140.3802
574;188.064;679.722;139.5043
575;187.699;680.906;138.6367
576;187.708;682.090;137.7774
577;188.866;683.274;136.9270
578;189.274;684.458;136.0857
579;189.479;685.643;135.2538
580;189.671;686.827;134.4317
581;189.028;688.011;133.6195
582;188.979;689.195;132.8175
583;189.562;690.379;132.0259
584;188.684;691.564;131.2450
585;187.642;692.748;130.4749
586;187.100;693.932;129.7158
587;187.612;695.116;128.9680
588;189.359;696.300;128.2315
589;190.478;697.484;127.5065
590;192.147;698.669;126.7931
591;192.989;699.853;126.0915
592;193.273;701.037;125.4017
593;193.348;702.221;124.7239
594;192.430;703.405;124.0581
595;190.692;704.590;123.4043
596;188.840;705.774;122.7626
597;186.894;706.958;122.1331
598;185.934;708.142;121.5157
599;188.034;709.326;120.9105
600;189.521;710.510;120.3176
601;189.711;711.695;119.7367
602;189.198;712.879;119.1681
603;189.084;714.063;118.6115
604;188.978;715.247;118.0671
605;189.081;716.431;117.5346
606;190.697;717.616;117.0142
607;190.838;718.800;116.5056
608;192.827;719.984;116.0088
609;193.093;721.168;115.5238
610;192.975;722.352;115.0504
611;192.226;723.537;114.5886
612;192.044;724.721;114.1382
613;192.246;725.905;113.6991
614;192.540;727.089;113.2713
615;192.616;728.273;112.8545
616;192.372;729.457;112.4486
617;192.350;730.642;112.0535
618;192.505;731.826;111.6691
619;192.649;733.010;111.2952
620;193.087;734.194;110.9317
621;192.532;735.378;110.5784
622;191.049;736.563;110.2351
623;188.942;737.747;109.9017
624;186.678;738.931;109.5781
625;185.436;740.115;109.2640
626;184.145;741.299;108.9592
627;181.318;742.483;108.6637
628;178.534;743.668;108.3773
629;175.597;744.852;108.0997
630;174.186;746.036;107.8308
631;173.675;747.220;107.5703
632;173.898;748.404;107.3183
633;174.321;749.589;107.0744
634;173.914;750.773;106.8384
635;173.608;751.957;106.6103
636;172.166;753.141;106.3897
637;170.231;754.325;106.1767
638;169.386;755.510;105.9708
639;170.841;756.694;105.7721
640;171.268;757.878;105.5803
641;171.130;759.062;105.3952
642;170.702;760.246;105.2167
643;168.876;761.430;105.0446
644;166.300;762.615;104.8786
645;164.443;763.799;104.7188
646;162.102;764.983;104.5648
647;160.714;766.167;104.4166
648;161.094;767.351;104.2739
649;160.137;768.536;104.1366
650;159.367;769.720;104.0046
651;158.709;770.904;103.8776
652;158.278;772.088;103.7556
653;156.360;773.272;103.6383
654;153.786;774.456;103.5257
655;152.354;775.641;103.4176
656;151.508;776.825;103.3138
657;150.786;778.009;103.2142
658;150.435;779.193;103.1187
659;149.878;780.377;103.0271
660;147.857;781.562;102.9393
661;146.128;782.746;102.8552
662;144.841;783.930;102.7747
663;143.725;785.114;102.6975
664;142.446;786.298;102.6237
665;141.207;787.482;102.5530
666;140.892;788.667;102.4855
667;140.067;789.851;102.4208
668;138.339;791.035;102.3591
669;138.126;792.219;102.3000
670;138.273;793.403;102.2437
671;138.000;794.588;102.1898
672;137.987;795.772;102.1384
673;138.411;796.956;102.0894
674;138.505;798.140;102.0426
675;138.250;799.324;101.9980
676;137.571;800.508;101.9555
677;137.105;801.693;101.9149
678;136.638;802.877;101.8763
679;134.741;804.061;101.8396
680;134.333;805.245;101.8046
681;134.333;806.429;101.7712
682;133.425;807.614;101.7395
683;132.756;808.798;101.7094
684;132.667;809.982;101.6807
685;132.667;811.166;101.6535
686;132.861;812.350;101.6276
687;133.108;813.535;101.6031
